PMB Code,PMB Description,Treatment Component,ICD10 Code,ICD10 Description ,Comments
,,,A52.1+G01*,Symptomatic neurosyphilis/Meningitis in bacterial diseases classified elsewhere,
,,,B37.5,Candidal meningitis (G02.1*),
,,,B37.5+G02.1*,Candidal meningitis/ Meningitis in mycosis,
,,,B38.4+G02.1*,Coccidioidomycosis meningitis / Meningitis in mycoses,
,,,B45.1+G02.1*,Cerebral cryptococcosis/Meningitis in mycoses,
,,,G00.0,Haemophilus meningitis,
,,,G00.1,Pneumococcal meningitis,
,,,G00.2,Streptococcal meningitis,
,,,G00.3,Staphylococcal meningitis,
,,,G00.8,Other bacterial meningitis,
,,,G00.9,Bacterial meningitis unspecified,
,,,G01,Meningitis in bacterial diseases classified elsewhere,
,,,G02.0,Meningitis in viral diseases classified elsewhere,
,,,G02.1,Meningitis in mycoses,
,,,G02.8,Meningitis in other specified infectious and parasitic diseases classified elsewhere,
,,,G03.0,Nonpyogenic meningitis,
,,,G03.1,Chronic meningitis,
,,,G03.2,Benign recurrent meningitis [Mollaret],
,,,G03.8,Meningitis due to other specified causes,
,,,G03.9,"Meningitis, unspecified",
,,,G04.2,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",
513A,Myasthenia gravis; muscular dystrophy; neuro-myopathies NOS,Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,G13.0,Paraneoplastic neuromyopathy and neuropathy,
,,,G13.8,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere,
,,,G37.8,Other specified demyelinating diseases of central nervous system,
,,,G37.9,"Demyelinating disease of central nervous system, unspecified",
,,,G70.0,Myasthenia gravis ,
,,,G70.1,Toxic myoneural disorders,
,,,G70.2,Congenital and developmental myasthenia,
,,,G70.8,Other specified myoneural disorders,
,,,G70.9,Myoneural disorder unspecified,
,,,G71.0,Muscular dystrophy,
,,,G71.1,Myotonic disorders,
,,,G71.2,Congenital myopathies ,
,,,G71.3,Mitochondrial myopathy not elsewhere classified,
,,,G71.8,Other primary disorders of muscles,
,,,G71.9,Primary disorder of muscle unspecified ,
,,,G72.0,Drug-induced myopathy,
,,,G72.1,Alcoholic myopathy,
,,,G72.2,Myopathy due to other toxic agents,
,,,G72.4,"Inflammatory myopathy, not elsewhere classified",
,,,G72.8,Other specified myopathies,
,,,G72.9,"Myopathy, unspecified",
,,,G73.0,Myasthenic syndromes in endocrine diseases,
,,,G73.1,Eaton-Lambert syndrome (C00-D48+),
,,,G73.2,Other myasthenic syndromes in neoplastic disease (C00-D48+),
,,,G73.3,Myasthenic syndromes in other diseases classified elsewhere,
,,,G73.4,Myopathy in infectious and parasitic diseases classified elsewhere,
,,,G73.5,Myopathy in endocrine diseases,
,,,G73.6,Myopathy in metabolic diseases,
,,,G73.7,Myopathy in other diseases classified elsewhere,
510A,Peripheral nerve injury with open wound,Neuroplasty,S14.4,Injury of peripheral nerves of neck,Only PMB if open wound exist
,,,S24.3,Injury of peripheral nerves of thorax,
,,,S24.4,Injury of thoracic sympathetic nerves,
,,,S24.5,Injury of other nerves of thorax,
,,,S24.6,Injury of unspecified nerve of thorax,
,,,S34.6,"Injury of peripheral nerve(s) of abdomen, lower back and pelvis",
,,,S34.8,"Injury of other and unspecified nerves at abdomen, lower back and pelvis level",
,,,S44.0,Injury of ulnar nerve at upper arm level,
,,,S44.1,Injury of median nerve at upper arm level,
,,,S44.2,Injury of radial nerve at upper arm level,
,,,S44.3,Injury of axillary nerve,
,,,S44.4,Injury of musculocutaneous nerve,
,,,S44.5,Injury of cutaneous sensory nerve at shoulder and upper arm level,
,,,S44.7,Injury of multiple nerves at shoulder and upper arm level,
,,,S44.8,Injury of other nerves at shoulder and upper arm level,
,,,S44.9,Injury of unspecified nerve at shoulder and upper arm level,
,,,S54.0,Injury of ulnar nerve at forearm level,
,,,S54.1,Injury of median nerve at forearm level,
,,,S54.2,Injury of radial nerve at forearm level,
,,,S54.3,Injury of cutaneous sensory nerve at forearm level,
,,,S54.7,Injury of multiple nerves at forearm level,
,,,S54.8,Injury of other nerves at forearm level,
,,,S54.9,Injury of unspecified nerve at forearm level,
,,,S64.0,Injury of ulnar nerve at wrist and hand level,
,,,S64.1,Injury of median nerve at wrist and hand level,
,,,S64.2,Injury of radial nerve at wrist and hand level,
,,,S64.3,Injury of digital nerve of thumb,
,,,S64.4,Injury of digital nerve of other finger,
,,,S64.7,Injury of multiple nerves at wrist and hand level,
,,,S64.8,Injury of other nerves at wrist and hand level,
,,,S64.9,Injury of unspecified nerve at wrist and hand level,
,,,S74.0,Injury of sciatic nerve at hip and thigh level,
,,,S74.1,Injury of femoral nerve at hip and thigh level,
,,,S74.2,Injury of cutaneous sensory nerve at hip and thigh level,
,,,S74.7,Injury of multiple nerves at hip and thigh level,
,,,S74.8,Injury of other nerves at hip and thigh level,
,,,S74.9,Injury of unspecified nerve at hip and thigh level,
,,,S84.0,Injury of tibial nerve at lower leg level,
,,,S84.1,Injury of peroneal nerve at lower leg level,
,,,S84.2,Injury of cutaneous sensory nerve at lower leg level,
,,,S84.7,Injury of multiple nerves at lower leg level,
,,,S84.8,Injury of other nerves at lower leg level,
,,,S84.9,Injury of unspecified nerve at lower leg level,
,,,S94.0,Injury of lateral plantar nerve,
,,,S94.1,Injury of medial plantar nerve,
,,,S94.2,Injury of deep peroneal nerve at ankle and foot level,
,,,S94.3,Injury of cutaneous sensory nerve at ankle and foot level,
,,,S94.7,Injury of multiple nerves at ankle and foot level,
,,,S94.8,Injury of other nerves at ankle and foot level,
,,,S94.9,Injury of unspecified nerve at ankle and foot level,
,,,T11.3,"Injury of unspecified nerve of upper limb, level unspecified",
,,,T13.3,"Injury of unspecified nerve of lower limb, level unspecified",
,,,T14.4,Injury of nerve(s) of unspecified body region,
,,,T92.4,Sequelae of injury of nerve of upper limb,
,,,T93.4,Sequelae of injury of nerve of lower limb,
940A,Reversible CNS abnormalities due to other systemic disease,Medical and surgical management,G25.1,Drug-induced tremor,These codes do no include all other systemic diseases but only the possible CNS abnormalities
,,,G25.3,Myoclonus,
,,,G25.4,Drug-induced chorea,
,,,G25.5,Other chorea,
,,,G25.6,Drug-induced tics and other tics of organic origin,
,,,R25.0,Abnormal head movements,
,,,R25.1,"Tremor, unspecified",
,,,R25.2,Cramp and spasm,
,,,R25.3,Fasciculation,
,,,R25.8,Other and unspecified abnormal involuntary movements,
,,,R26.0,Ataxic gait,
,,,R26.1,Paralytic gait,
,,,R26.2,"Difficulty in walking, not elsewhere classified",
,,,R26.3,Immobility,
,,,R26.8,Other and unspecified abnormalities of gait and mobility,
,,,R27.0,"Ataxia, unspecified",
,,,R27.8,Other and unspecified lack of coordination,
,,,R29.0,Tetany,
,,,R29.1,Meningismus,
,,,R29.2,Abnormal reflex,
,,,R29.3,Abnormal posture,
,,,R29.4,Clicking hip,
,,,R29.6,"Tendency to fall, not elsewhere classified",
,,,R29.8,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,
1A,Severe / moderate head injury: hematoma / oedema with loss of consciousness,Medical and surgical management; ventilation,G93.5,Compression of brain,Only if loss of consciousness 
,,,G93.6,Cerebral oedema,
,,,G96.0,Cerebrospinal fluid leak,
,,,S06.00,Concussion without open intracranial injury,
,,,S06.01,Concussion with open intracranial injury,
,,,S06.10,Traumatic cerebral oedema without open intracranial injury,
,,,S06.11,Traumatic cerebral oedema with open intracranial injury,
,,,S06.20,Diffuse brain injury without open intracranial injury,
,,,S06.21,Diffuse brain injury with open intracranial injury,
,,,S06.30,Focal brain injury without open intracranial injury,
,,,S06.31,Focal brain injury with open intracranial injury,
,,,S06.40,Epidural haemorrhage without open intracranial injury,
,,,S06.41,Epidural haemorrhage with open intracranial injury,
,,,S06.50,Traumatic subdural haemorrhage without open intracranial injury,
,,,S06.51,Traumatic subdural haemorrhage with open intracranial injury,
,,,S06.60,Traumatic subarachnoid haemorrhage  without open intracranial injury,
,,,S06.61,Traumatic subarachnoid haemorrhag with open intracranial injury,
,,,S06.70,Intracranial injury with prolonged coma without open intracranial injury,
,,,S06.71,Intracranial injury with prolonged coma  with open intracranial injury,
,,,S06.80,Other intrcranial injury without open intracranial injury,
,,,S06.81,Other intrcranial injury with open intracranial injury,
,,,S06.90,"Intracranial injury, unspecified without open intracranial injury",
,,,S06.91,"Intracranial injury, unspecified with open intracranial injury",
,,,S09.7,Multiple injuries of head,
,,,S09.8,Other specified injuries of head,
,,,S09.9,Unspecified injury of head,
,,,T06.0,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level,
,,,T06.1,Injuries of nerves and spinal cord involving other multiple body regions,
,,,T90.5,Sequelae of intracranial injury,
,,,T90.8,Sequelae of other specified injuries of head,
,,,T90.9,Sequelae of unspecified injury of head,
84A,Spina Bifida,Surgical management,Q05.0,Cervical spina bifida with hydrocephalus,
,,,Q05.1,Thoracic spina bifida with hydrocephalus,
,,,Q05.2,Lumbar spina bifida with hydrocephalus,
,,,Q05.3,Sacral spina bifida with hydrocephalus,
,,,Q05.4,Unspecified spina bifida with hydrocephalus,
,,,Q05.5,Cervical spina bifida without hydrocephalus,
,,,Q05.6,Thoracic spina bifida without hydrocephalus,
,,,Q05.7,Lumbar spina bifida without hydrocephalus,
,,,Q05.8,Sacral spina bifida without hydrocephalus,
,,,Q05.9,"Spina bifida, unspecified",
,,,Q76.0,Spina bifida occulta,
941A,"Spinal cord compression, ischaemia or degenerative disease NOS",Medical and surgical management,G95.0,Syringomyelia and syringobulbia,
,,,G95.1,Vascular myelopathies,
,,,G95.2,Cord compression unspecified,
,,,G95.8,Other specified diseases of spinal cord,
,,,G95.9,"Disease of spinal cord, unspecified",
,,,M47.00+G99.2*,"Anterior spinal and vertebral artery compression syndromes, multiple site / Myelopathy in diseases classified elsewhere",
,,,M47.01+G99.2*,"Anterior spinal and vertebral artery compression syndromes, occipito-atlanto-axial region / Myelopathy in diseases classified elsewhere",
,,,M47.02+G99.2*,"Anterior spinal and vertebral artery compression syndromes, cervical region / Myelopathy in diseases classified elsewhere",
,,,M47.03+G99.2*,"Anterior spinal and vertebral artery compression syndromes, cervicothoracic region / Myelopathy in diseases classified elsewhere",
,,,M47.09+G99.2*,"Anterior spinal and vertebral artery compression syndromes, site unspecified / Myelopathy in diseases classified elsewhere",
,,,M47.10,"Other spondylosis with myelopathy, multiple sites",
,,,M47.11,"Other spondylosis with myelopathy, occipito-atlanto-axial region",
,,,M47.12,"Other spondylosis with myelopathy,  cervical region",
,,,M47.13,"Other spondylosis with myelopathy, cervicothoracic region",
,,,M47.14,"Other spondylosis with myelopathy, thoracic region",
,,,M47.15,"Other spondylosis with myelopathy, thoracolumbar region",
,,,M47.16,"Other spondylosis with myelopathy, lumbar region",
,,,M48.00,"Spinal stenosis, multiple sites in spine",
,,,M48.01,"Spinal stenosis,occipito-atlanta-axial region",
,,,M48.02,"Spinal stenosis,cervical region",
,,,M48.03,"Spinal stenosis,cervicothoracic region",
,,,M48.04,"Spinal stenosis, thoracic region",
,,,M48.05,"Spinal stenosis,thoracolumbar region",Applicable only if lesion of spinal cord exist
,,,M48.06,"Spinal stenosis, lumbar region",Applicable only if lesion of spinal cord exist
,,,M50.0+G99.2*,Cervical disc disorder with myelopathy/ Myelopathy in diseases classified elsewhere,Applicable only if lesion of spinal cord exist
,,,M51.0+G99.2*,Lumbar and other intervertebral disc disorders with myelopathy / Myelopathy in diseases classified elsewhere,Applicable only if lesion of spinal cord exist
,,,M99.30,"Osseous stenosis of neural canal, head region; occipitocervical",Applicable only if lesion of spinal cord exist
,,,M99.31,"Osseous stenosis of neural canal,cervical region; cericothoracic",Applicable only if lesion of spinal cord exist
,,,M99.32,"Osseous stenosis of neural canal, thoracic region; thoracolumbar",Applicable only if lesion of spinal cord exist
,,,M99.33,"Osseous stenosis of neural canal, lumbar region",Applicable only if lesion of spinal cord exist
,,,M99.50,"Intervertebral disc stenosis of neural canal , head region; occipitocervical",Applicable only if lesion of spinal cord exist
,,,M99.51,"Intervertebral disc stenosis of neural canal,cervical region; cericothoracic",Applicable only if lesion of spinal cord exist
,,,M99.52,"Intervertebral disc stenosis of neural canal, thoracic region; thoracolumbar",Applicable only if lesion of spinal cord exist
,,,M99.53,"Intervertebral disc stenosis of neural canal, lumbar region",Applicable only if lesion of spinal cord exist
901A,"Stroke – due to hemorrhage, or ischaemia",Medical management; surgery,G45.8,Other transient cerebral ischaemic attacks and related syndromes,
,,,G45.9,"Transient cerebral ischaemic attack, unspecified",
,,,I61.0+G46.3*,"Intracerebral haemorrhage in hemisphere, subcortical / Brain stem stroke syndrome",
,,,I61.0+G46.4*,"Intracerebral haemorrhage in hemisphere, subcortical / Cerebellar stroke syndrome",
,,,I61.1+G46.3*,"Intracerebral haemorrhage in hemisphere, cortical / Brain stem stroke syndrome",
,,,I61.1+G46.4*,"Intracerebral haemorrhage in hemisphere, cortical  / Cerebellar stroke syndrome",
,,,I61.2+G46.3*,"Intracerebral haemorrhage in hemisphere, unspecified / Brain stem stroke syndrome",
,,,I61.2+G46.4*,"Intracerebral haemorrhage in hemisphere, unspecified  / Cerebellar stroke syndrome",
,,,I61.3+G46.3*,Intracerebral haemorrhage in brain stem / Brain stem stroke syndrome,
,,,I61.3+G46.4*,Intracerebral haemorrhage in brain stem  / Cerebellar stroke syndrome,
,,,I61.4+G46.3*,Intracerebral haemorrhage in cerebellum / Brain stem stroke syndrome,
,,,I61.4+G46.4*,Intracerebral haemorrhage in cerebellum  / Cerebellar stroke syndrome,
,,,I61.5+G46.3*,"Intracerebral haemorrhage, intraventricular / Brain stem stroke syndrome",
,,,I61.5+G46.4*,"Intracerebral haemorrhage, intraventricular  / Cerebellar stroke syndrome",
,,,I61.6+G46.3*,"Intracerebral haemorrhage, multiple localised/Brain stem stroke syndrome (I60-I67+)",
,,,I61.6+G46.4*,"Intracerebral haemorrhage, multiple localised/Cerebellar stroke syndrome (I60-I67+)",
,,,I61.8+G46.3*,Other intracerebral haemorrhage / Brain stem stroke syndrome,
,,,I61.8+G46.4*,Other intracerebral haemorrhage / Cerebellar stroke syndrome,
,,,I61.9+G46.3*,"Intracerebral haemorrhage, unspecified / Brain stem stroke syndrome",
,,,I61.9+G46.4*,"Intracerebral haemorrhage, unspecified / / Cerebellar stroke syndrome",
,,,I62.9+G46.3*,"Intracranial haemorrhage (nontraumatic), unspecified/Brain stem stroke syndrome",
,,,I62.9+G46.4*,"Intracranial haemorrhage (nontraumatic), unspecified/Cerebellar stroke syndrome (I60-I67+)",
,,,I63.0,Cerebral infarction due to thrombosis of precerebral arteries,
,,,I63.0+G46.3*,Cerebral infarction due to thrombosis of precerebral arteries / Brain stem stroke syndrome,
,,,I63.0+G46.4*,Cerebral infarction due to thrombosis of precerebral arteries / Brain stem stroke syndrome/Cerebellar stroke syndrome (I60-I67+),
,,,I63.1,Cerebral infarction due to embolism of precerebral arteries,
,,,I63.1+G46.3*,Cerebral infarction due to embolism of precerebral arteries / Brain stem stroke syndrome,
,,,I63.1+G46.4*,Cerebral infarction due to embolism of precerebral arteries / Cerebellar stroke syndrome,
,,,I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,
,,,I63.2+G46.3*,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries / Brain stem stroke syndrome,
,,,I63.2+G46.4*,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries / Cerebellar stroke syndrome,
,,,I63.3,Cerebral infarction due to thrombosis of cerebral arteries,
,,,I63.3+G46.3*,Cerebral infarction due to thrombosis of cerebral arteries / Brain stem stroke syndrome,
,,,I63.3+G46.4*,Cerebral infarction due to thrombosis of cerebral arteries / Cerebellar stroke syndrome,
,,,I63.4,Cerebral infarction due to embolism of cerebral arteries,
,,,I63.4+G46.3*,Cerebral infarction due to embolism of cerebral arteries / Brain stem stroke syndrome,
,,,I63.4+G46.4*,Cerebral infarction due to embolism of cerebral arteries / Cerebellar stroke syndrome,
,,,I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,
,,,I63.5+G46.3*,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries / Brain stem stroke syndrome,
,,,I63.5+G46.4*,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries / Cerebellar stroke syndrome,
,,,I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",
,,,I63.6+G46.3*,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic / Brain stem stroke syndrome",
,,,I63.6+G46.4*,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic / Cerebellar stroke syndrome",
,,,I63.8,Other cerebral infarction,
,,,I63.8+G46.3*,Other cerebral infarction / Brain stem stroke syndrome,
,,,I63.8+G46.4*,Other cerebral infarction / Cerebellar stroke syndrome,
,,,I63.9,"Cerebral infarction, unspecified",
,,,I63.9+G46.3*,"Cerebral infarction, unspecified / Brain stem stroke syndrome",
,,,I63.9+G46.4*,"Cerebral infarction, unspecified / Cerebellar stroke syndrome",
,,,I64,"Stroke, not specified as haemorrhage or infarction",
,,,I64+G46.3*,"Stroke, not specified as haemorrhage or infarction /Brain stem stroke syndrome",
,,,I64+G46.4*,"Stroke, not specified as haemorrhage or infarction /Cerebellar stroke syndrome",
,,,I65.0+G46.3*,Occlusion and stenosis of vertebral artery/Brain stem stroke syndrome (I60-I67+),
,,,I65.0+G46.4*,Occlusion and stenosis of vertebral artery / Cerebellar stroke syndrome,
,,,I65.1+G46.3*,Occlusion and stenosis of basilar artery/Brain stem stroke syndrome (I60-I67+),
,,,I65.1+G46.4*,Occlusion and stenosis of basilar artery / Cerebellar stroke syndrome,
,,,I65.2+G46.3*,Occlusion and stenosis of carotid artery/Brain stem stroke syndrome (I60-I67+),
,,,I65.2+G46.4*,Occlusion and stenosis of carotid artery / Cerebellar stroke syndrome,
,,,I65.3+G46.3*,Occlusion and stenosis of multiple and bilateral precerebral arteries/Brain stem stroke syndrome (I60-I67+),
,,,I65.3+G46.4*,Occlusion and stenosis of multiple and bilateral precerebral arteries / Cerebellar stroke syndrome,
,,,I65.8+G46.3*,Occlusion and stenosis of other precerebral artery/Brain stem stroke syndrome (I60-I67+),
,,,I65.8+G46.4*,Occlusion and stenosis of other precerebral artery / Cerebellar stroke syndrome,
,,,I65.9+G46.3*,Occlusion and stenosis of unspecified precerebral artery/Brain stem stroke syndrome (I60-I67+),
,,,I65.9+G46.4*,Occlusion and stenosis of unspecified precerebral artery / Cerebellar stroke syndrome,
,,,I66.0+G46.3*,Occlusion and stenosis of middle cerebral artery / Brain stem stroke syndrome,
,,,I66.0+G46.4*,Occlusion and stenosis of middle cerebral artery / Cerebellar stroke syndrome,
,,,I66.1+G46.3*,Occlusion and stenosis of anterior cerebral artery / Brain stem stroke syndrome,
,,,I66.1+G46.4*,Occlusion and stenosis of anterior cerebral artery / Cerebellar stroke syndrome,
,,,I66.2+G46.3*,Occlusion and stenosis of posterior cerebral artery / Brain stem stroke syndrome,
,,,I66.2+G46.4*,Occlusion and stenosis of posterior cerebral artery / Cerebellar stroke syndrome,
,,,I66.3+G46.3*,Occlusion and stenosis of cerebellar arteries / Brain stem stroke syndrome,
,,,I66.3+G46.4*,Occlusion and stenosis of cerebellar arteries / Cerebellar stroke syndrome,
,,,I66.4+G46.3*,Occlusion and stenosis of multiple and bilateral cerebral arteries / Brain stem stroke syndrome,
,,,I66.4+G46.4*,Occlusion and stenosis of multiple and bilateral cerebral arteries / Cerebellar stroke syndrome,
,,,I66.8+G46.3*,Occlusion and stenosis of other cerebral artery / Brain stem stroke syndrome,
,,,I66.8+G46.4*,Occlusion and stenosis of other cerebral artery / Cerebellar stroke syndrome,
,,,I66.9+G46.3*,Occlusion and stenosis of unspecified cerebral artery / Brain stem stroke syndrome,
,,,I66.9+G46.4*,Occlusion and stenosis of unspecified cerebral artery / Cerebellar stroke syndrome,
,,,I67.6+G46.3*,Nonpyogenic thrombosis of intracranial venous system /Brain stem stroke syndrome,
,,,I67.7+G46.4*,"Cerebral arteritis, not elsewhere classified/Cerebellar stroke syndrome (I60-I67+)",
,,,I69.3,Sequelae of cerebral infarction,
,,,I69.4,"Sequelae of stroke, not specified as haemorrhage or infarction",
28A,Subarachnoid and intracranial hemorrhage / hematoma; compression of brain,Medical and surgical management,G93.5,Compression of brain,
,,,G93.6,Cerebral oedema,
,,,I60.0,Subarachnoid haemorrhage from carotid siphon and bifurcation,
,,,I60.0+G46.3*,Subarachnoid haemorrhage from carotid siphon and bifurcation/Brain stem stroke syndrome (I60-I67+),
,,,I60.0+G46.4*,Subarachnoid haemorrhage from carotid siphon and bifurcation/Cerebellar stroke syndrome (I60-I67+),
,,,I60.0+G46.5*,Subarachnoid haemorrhage from carotid siphon and bifurcation/Pure motor lacunar syndrome (I60-I67+),
,,,I60.0+G46.6*,Subarachnoid haemorrhage from carotid siphon and bifurcation/Pure sensory lacunar syndrome (I60-I67+),
,,,I60.0+G46.7*,Subarachnoid haemorrhage from carotid siphon and bifurcation/Other lacunar syndromes (I60-I67+),
,,,I60.0+G46.8*,Subarachnoid haemorrhage from carotid siphon and bifurcation/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I60.1,Subarachnoid haemorrhage from middle cerebral artery,
,,,I60.1+G46.3*,Subarachnoid haemorrhage from middle cerebral artery/Brain stem stroke syndrome (I60-I67+),
,,,I60.1+G46.4*,Subarachnoid haemorrhage from middle cerebral artery/Cerebellar stroke syndrome (I60-I67+),
,,,I60.1+G46.5*,Subarachnoid haemorrhage from middle cerebral artery/Pure motor lacunar syndrome (I60-I67+),
,,,I60.1+G46.6*,Subarachnoid haemorrhage from middle cerebral artery/Pure sensory lacunar syndrome (I60-I67+),
,,,I60.1+G46.7*,Subarachnoid haemorrhage from middle cerebral artery/Other lacunar syndromes (I60-I67+),
,,,I60.1+G46.8*,Subarachnoid haemorrhage from middle cerebral artery/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I60.2,Subarachnoid haemorrhage from anterior communicating artery,
,,,I60.2+G46.3*,Subarachnoid haemorrhage from anterior communicating artery/Brain stem stroke syndrome (I60-I67+),
,,,I60.2+G46.4*,Subarachnoid haemorrhage from anterior communicating artery/Cerebellar stroke syndrome (I60-I67+),
,,,I60.2+G46.5*,Subarachnoid haemorrhage from anterior communicating artery/Pure motor lacunar syndrome (I60-I67+),
,,,I60.2+G46.6*,Subarachnoid haemorrhage from anterior communicating artery/Pure sensory lacunar syndrome (I60-I67+),
,,,I60.2+G46.7*,Subarachnoid haemorrhage from anterior communicating artery/Other lacunar syndromes (I60-I67+),
,,,I60.2+G46.8*,Subarachnoid haemorrhage from anterior communicating artery/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I60.3,Subarachnoid haemorrhage from posterior communicating artery,
,,,I60.3+G46.3*,Subarachnoid haemorrhage from posterior communicating artery/Brain stem stroke syndrome (I60-I67+),
,,,I60.3+G46.4*,Subarachnoid haemorrhage from posterior communicating artery/Cerebellar stroke syndrome (I60-I67+),
,,,I60.3+G46.5*,Subarachnoid haemorrhage from posterior communicating artery/Pure motor lacunar syndrome (I60-I67+),
,,,I60.3+G46.6*,Subarachnoid haemorrhage from posterior communicating artery/Pure sensory lacunar syndrome (I60-I67+),
,,,I60.3+G46.7*,Subarachnoid haemorrhage from posterior communicating artery/Other lacunar syndromes (I60-I67+),
,,,I60.3+G46.8*,Subarachnoid haemorrhage from posterior communicating artery/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I60.4,Subarachnoid haemorrhage from basilar artery,
,,,I60.4+G46.3*,Subarachnoid haemorrhage from basilar artery/Brain stem stroke syndrome (I60-I67+),
,,,I60.4+G46.4*,Subarachnoid haemorrhage from basilar artery/Cerebellar stroke syndrome (I60-I67+),
,,,I60.4+G46.5*,Subarachnoid haemorrhage from basilar artery/Pure motor lacunar syndrome (I60-I67+),
,,,I60.4+G46.6*,Subarachnoid haemorrhage from basilar artery/Pure sensory lacunar syndrome (I60-I67+),
,,,I60.4+G46.7*,Subarachnoid haemorrhage from basilar artery/Other lacunar syndromes (I60-I67+),
,,,I60.4+G46.8*,Subarachnoid haemorrhage from basilar artery/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I60.5,Subarachnoid haemorrhage from vertebral artery,
,,,I60.5+G46.3*,Subarachnoid haemorrhage from vertebral artery/Brain stem stroke syndrome (I60-I67+),
,,,I60.5+G46.4*,Subarachnoid haemorrhage from vertebral artery/Cerebellar stroke syndrome (I60-I67+),
,,,I60.5+G46.5*,Subarachnoid haemorrhage from vertebral artery/Pure motor lacunar syndrome (I60-I67+),
,,,I60.5+G46.6*,Subarachnoid haemorrhage from vertebral artery/Pure sensory lacunar syndrome (I60-I67+),
,,,I60.5+G46.7*,Subarachnoid haemorrhage from vertebral artery/Other lacunar syndromes (I60-I67+),
,,,I60.5+G46.8*,Subarachnoid haemorrhage from vertebral artery/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I60.6,Subarachnoid haemorrhage from other intracranial arteries,
,,,I60.6+G46.3*,Subarachnoid haemorrhage from other intracranial arteries/Brain stem stroke syndrome (I60-I67+),
,,,I60.6+G46.4*,Subarachnoid haemorrhage from other intracranial arteries/Cerebellar stroke syndrome (I60-I67+),
,,,I60.6+G46.5*,Subarachnoid haemorrhage from other intracranial arteries/Pure motor lacunar syndrome (I60-I67+),
,,,I60.6+G46.6*,Subarachnoid haemorrhage from other intracranial arteries/Pure sensory lacunar syndrome (I60-I67+),
,,,I60.6+G46.7*,Subarachnoid haemorrhage from other intracranial arteries/Other lacunar syndromes (I60-I67+),
,,,I60.6+G46.8*,Subarachnoid haemorrhage from other intracranial arteries/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I60.7,Subarachnoid haemorrhage from intracranial artery unspecified,
,,,I60.7+G46.3*,Subarachnoid haemorrhage from intracranial artery unspecified/Brain stem stroke syndrome (I60-I67+),
,,,I60.7+G46.4*,Subarachnoid haemorrhage from intracranial artery unspecified/Cerebellar stroke syndrome (I60-I67+),
,,,I60.7+G46.5*,"Subarachnoid haemorrhage from intracranial artery, unspecified/Pure motor lacunar syndrome (I60-I67+)",
,,,I60.7+G46.6*,"Subarachnoid haemorrhage from intracranial artery, unspecified/Pure sensory lacunar syndrome (I60-I67+)",
,,,I60.7+G46.7*,"Subarachnoid haemorrhage from intracranial artery, unspecified/Other lacunar syndromes (I60-I67+)",
,,,I60.7+G46.8*,"Subarachnoid haemorrhage from intracranial artery, unspecified/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+)",
,,,I60.8,Other subarachnoid haemorrhage,
,,,I60.8+G46.3*,Other subarachnoid haemorrhage/Brain stem stroke syndrome (I60-I67+),
,,,I60.8+G46.4*,Other subarachnoid haemorrhage/Cerebellar stroke syndrome (I60-I67+),
,,,I60.8+G46.5*,Other subarachnoid haemorrhage/Pure motor lacunar syndrome (I60-I67+),
,,,I60.8+G46.6*,Other subarachnoid haemorrhage/Pure sensory lacunar syndrome (I60-I67+),
,,,I60.8+G46.7*,Other subarachnoid haemorrhage/Other lacunar syndromes (I60-I67+),
,,,I60.8+G46.8*,Other subarachnoid haemorrhage/Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),
,,,I60.9,Subarachnoid haemorrhage unspecified,
,,,I60.9+G46.3*,Subarachnoid haemorrhage unspecified/Brain stem stroke syndrome (I60-I67+),
,,,I60.9+G46.4*,Subarachnoid haemorrhage unspecified/Cerebellar stroke syndrome (I60-I67+),
,,,I60.9+G46.5*,"Subarachnoid haemorrhage, unspecified/Pure motor lacunar syndrome (I60-I67+)",
,,,I60.9+G46.6*,"Subarachnoid haemorrhage, unspecified/Pure sensory lacunar syndrome (I60-I67+)",
